Tag,Count,,
TW01,114,,y
TW02,129,,y
TW03,19,,y
TW04,23,,y
TW05,69,,y
TW06,46,,y
TW06c,1,,
TW06m,8,,
TW06s,20,,y
TW07,24,,y
TW08,79,,y
TW08m,10,,
TW09,33,,y
TW09m,8,,
TW09s,26,,y
TW10,14,,y
TW10m,1,,
TW11,24,,y
TW12,1,,
TW13,61,,y
TW14,3,,
TW15,37,,y
TW16,45,,y
TW17,55,,y
TW17m,2,,
TW18,24,,y
TW19,18,,y
TW20,12,,y
TW21,4,,
TW22,29,,y
TW23,28,,y
TW24,62,,y
TW24TW01,3,,
TW24TW02,5,,
TW24TW05,1,,
TW24TW06,6,,
TW24TW07,5,,
TW24TW08,27,,
TW24TW09,8,,
TW24TW10,1,,
TW24TW11,2,,
TW24TW12,1,,
TW24TW13,2,,
TW24TW14,2,,
TW24TW15,1,,
TW24TW16,3,,
TW24TW17,4,,
TW24TW19,1,,